customer_id,segment,interval,score,duration,promo,robocats
cst_5930999721,Segment 0,До внедрения роботов,3,1.57,0,0
cst_8129349913,Segment 0,До внедрения роботов,2,0.03,0,0
cst_0760362226,Segment 0,До внедрения роботов,0,0.09,0,0
cst_7443009819,Segment 0,До внедрения роботов,5,0.49,0,0
cst_9187686101,Segment 0,До внедрения роботов,5,0.03,0,0
cst_4305666480,Segment 0,До внедрения роботов,1,0.75,0,0
cst_6395760410,Segment 0,До внедрения роботов,3,0.94,0,0
cst_3564417812,Segment 0,До внедрения роботов,1,0.05,0,0
cst_2931620161,Segment 0,До внедрения роботов,7,0.28,0,0
cst_3202585116,Segment 0,До внедрения роботов,4,0.14,0,0
cst_3563493794,Segment 0,До внедрения роботов,0,2.34,0,0
cst_3143126064,Segment 0,До внедрения роботов,2,0.52,0,0
cst_9318199735,Segment 0,До внедрения роботов,5,0.64,0,0
cst_8306777412,Segment 0,До внедрения роботов,2,0.1,0,0
cst_4918106277,Segment 0,До внедрения роботов,6,0.06,0,0
cst_5445269833,Segment 0,До внедрения роботов,1,0.12,0,0
cst_9669016734,Segment 0,До внедрения роботов,0,0.35,0,0
cst_9586233813,Segment 0,До внедрения роботов,1,0.07,0,0
cst_4406313246,Segment 0,До внедрения роботов,1,0.33,0,0
cst_8435240921,Segment 0,До внедрения роботов,1,0.84,0,0
cst_2829354940,Segment 0,До внедрения роботов,2,0.99,0,0
cst_4141458185,Segment 0,До внедрения роботов,0,0.27,0,0
cst_2279413009,Segment 0,До внедрения роботов,0,0.97,0,0
cst_5631152339,Segment 0,До внедрения роботов,2,0.31,0,0
cst_6694762759,Segment 0,До внедрения роботов,0,1.3,0,0
cst_1432711268,Segment 0,До внедрения роботов,9,0.48,1,0
cst_2794861937,Segment 0,До внедрения роботов,0,0.4,0,0
cst_2522897792,Segment 0,До внедрения роботов,0,1.3,0,0
cst_4643232043,Segment 0,До внедрения роботов,2,0.08,0,0
cst_6107733882,Segment 0,До внедрения роботов,0,0.57,0,0
cst_8990452851,Segment 0,До внедрения роботов,3,0.2,0,0
cst_5265864178,Segment 0,До внедрения роботов,4,0.64,0,0
cst_5061038894,Segment 0,До внедрения роботов,3,0.4,0,0
cst_3767797373,Segment 0,До внедрения роботов,4,0.08,0,0
cst_1661481204,Segment 0,До внедрения роботов,2,0.31,0,0
cst_2081193167,Segment 0,До внедрения роботов,3,0.6,0,0
cst_7859241378,Segment 0,До внедрения роботов,2,0.16,0,0
cst_7935753301,Segment 0,До внедрения роботов,3,0.29,0,0
cst_3632260220,Segment 0,До внедрения роботов,1,0.46,0,0
cst_3168203040,Segment 0,До внедрения роботов,6,0.21,0,0
cst_2873695927,Segment 0,До внедрения роботов,8,1.16,1,0
cst_1707148171,Segment 0,До внедрения роботов,2,0.67,0,0
cst_6749912639,Segment 0,До внедрения роботов,0,0.88,0,0
cst_7141342851,Segment 0,До внедрения роботов,0,0.05,0,0
cst_0217221496,Segment 0,До внедрения роботов,8,1.17,1,0
cst_3157061792,Segment 0,До внедрения роботов,2,0.06,0,0
cst_9483665749,Segment 0,До внедрения роботов,3,0.12,0,0
cst_0668785322,Segment 0,До внедрения роботов,5,0.63,0,0
cst_9473025455,Segment 0,До внедрения роботов,0,0.66,0,0
cst_0270064059,Segment 0,До внедрения роботов,5,0.01,0,0
cst_3675041600,Segment 0,До внедрения роботов,5,0.38,0,0
cst_0147540647,Segment 0,До внедрения роботов,0,0.24,0,0
cst_2949959122,Segment 0,До внедрения роботов,0,1.4,0,0
cst_0051636048,Segment 0,До внедрения роботов,0,1.09,0,0
cst_3216392010,Segment 0,До внедрения роботов,3,0.27,0,0
cst_3500168117,Segment 0,До внедрения роботов,1,0.22,0,0
cst_6586524235,Segment 0,До внедрения роботов,0,0.27,0,0
cst_8886288987,Segment 0,До внедрения роботов,3,0.06,0,0
cst_5257509675,Segment 0,До внедрения роботов,0,1.09,0,0
cst_1616775495,Segment 0,До внедрения роботов,6,0.39,0,0
cst_9482511212,Segment 0,До внедрения роботов,0,0.01,0,0
cst_4064608533,Segment 0,До внедрения роботов,6,0.46,0,0
cst_5942866692,Segment 0,До внедрения роботов,1,0.07,0,0
cst_3223732680,Segment 0,До внедрения роботов,3,1.5,0,0
cst_4637496712,Segment 0,До внедрения роботов,3,1.69,0,0
cst_3648954420,Segment 0,До внедрения роботов,3,0.38,0,0
cst_3308968013,Segment 0,До внедрения роботов,4,0.31,0,0
cst_6616746543,Segment 0,До внедрения роботов,0,0.37,0,0
cst_0858877332,Segment 0,До внедрения роботов,2,0.71,0,0
cst_3488658375,Segment 0,До внедрения роботов,2,0.15,0,0
cst_2159618058,Segment 0,До внедрения роботов,0,0.56,0,0
cst_3571555394,Segment 0,До внедрения роботов,2,0.68,0,0
cst_1559591586,Segment 0,До внедрения роботов,5,0.53,0,0
cst_6040160144,Segment 0,До внедрения роботов,0,0.5,0,0
cst_1025024850,Segment 0,До внедрения роботов,0,0.09,0,0
cst_9625562231,Segment 0,До внедрения роботов,6,0.84,0,0
cst_5833908437,Segment 0,До внедрения роботов,0,1.03,0,0
cst_8929219665,Segment 0,До внедрения роботов,7,1.07,0,0
cst_6366981776,Segment 0,До внедрения роботов,0,0.59,0,0
cst_3847631592,Segment 0,До внедрения роботов,1,0.21,0,0
cst_4138933458,Segment 0,До внедрения роботов,3,0.47,0,0
cst_2823862194,Segment 0,До внедрения роботов,2,0.64,0,0
cst_4340919924,Segment 0,До внедрения роботов,1,0.1,0,0
cst_3158537616,Segment 0,До внедрения роботов,1,0.53,0,0
cst_1552166437,Segment 0,До внедрения роботов,0,0.69,0,0
cst_5766664207,Segment 0,До внедрения роботов,7,0.05,0,0
cst_3619025790,Segment 0,До внедрения роботов,1,0.38,0,0
cst_6642620866,Segment 0,До внедрения роботов,0,0.21,0,0
cst_9913457760,Segment 0,До внедрения роботов,0,0.1,0,0
cst_0964014213,Segment 0,До внедрения роботов,0,0.23,0,0
cst_8324407498,Segment 0,До внедрения роботов,0,0.01,0,0
cst_8396849235,Segment 0,До внедрения роботов,1,0.45,1,0
cst_0423088850,Segment 0,До внедрения роботов,2,0.24,0,0
cst_9549506104,Segment 0,До внедрения роботов,2,0.0,0,0
cst_4741941322,Segment 0,До внедрения роботов,2,0.35,0,0
cst_6992525361,Segment 0,До внедрения роботов,0,0.73,0,0
cst_5370389627,Segment 0,До внедрения роботов,0,0.04,0,0
cst_6974655658,Segment 0,До внедрения роботов,2,0.03,0,0
cst_1062188441,Segment 0,До внедрения роботов,0,0.5,0,0
cst_9508966518,Segment 0,До внедрения роботов,0,0.52,0,0
cst_1351467659,Segment 0,До внедрения роботов,0,0.0,0,0
cst_4471176279,Segment 0,До внедрения роботов,1,0.04,0,0
cst_6490932944,Segment 0,До внедрения роботов,7,1.28,0,0
cst_6825634215,Segment 0,До внедрения роботов,0,0.35,0,0
cst_9416280051,Segment 0,До внедрения роботов,3,0.28,0,0
cst_4230438806,Segment 0,До внедрения роботов,0,0.09,0,0
cst_6752648101,Segment 0,До внедрения роботов,1,0.08,0,0
cst_6415137787,Segment 0,До внедрения роботов,0,0.22,0,0
cst_6956605608,Segment 0,До внедрения роботов,5,0.26,0,0
cst_5925933052,Segment 0,До внедрения роботов,2,1.08,0,0
cst_4768521947,Segment 0,До внедрения роботов,5,0.8,0,0
cst_9777534766,Segment 0,До внедрения роботов,0,0.22,0,0
cst_8733426304,Segment 0,До внедрения роботов,0,0.88,0,0
